organization,url,emails,phones,snippet,score,score_details,approved
Cheap Winter Haven Homes for Rent from $600,https://www.apartmenthomeliving.com/winter-haven-fl/homes-for-rent/cheap,,,Winter Haven Apartments for Rent · Winter Haven Homes for Rent by Owner · Winter Haven Condos for Rent · Winter Haven Furnished Homes for Rent ...,26.0,"{""positive_hits"": [""+7:for rent by owner"", ""+5:winter haven""], ""negative_hits"": [], ""budget_notes"": [""+3.0:budget_match($600)""], ""contact_notes"": [""+6:has_email"", ""+5:has_phone""], ""keyword_score"": 12.0, ""budget_score"": 3.0, ""contact_score"": 11.0, ""total_score"": 26.0}",False
HomeShare Online | Homesharing Platform and Roommate ...,https://homeshareonline.org/,,,"Find a roommate or list a room to rent on HomeShare Online, a roommate finder and homesharing platform app. Match with compatible roommates and more.",25.0,"{""positive_hits"": [""+8:homeshare"", ""+6:homeshare online""], ""negative_hits"": [], ""budget_notes"": [], ""contact_notes"": [""+6:has_email"", ""+5:has_phone""], ""keyword_score"": 14.0, ""budget_score"": 0.0, ""contact_score"": 11.0, ""total_score"": 25.0}",False
Senior House Sharing Is on the Rise,https://seniorplanet.org/senior-house-sharing-is-on-the-rise/,info@seniorplanet.org,,Silvernest can also draw up leases and collect rents. Because the ... I am lookng to purchase a home in WI and would like to home share with ...,25.0,"{""positive_hits"": [""+8:home share"", ""+6:silvernest""], ""negative_hits"": [], ""budget_notes"": [], ""contact_notes"": [""+6:has_email"", ""+5:has_phone""], ""keyword_score"": 14.0, ""budget_score"": 0.0, ""contact_score"": 11.0, ""total_score"": 25.0}",False
Looking for a roommate,https://www.facebook.com/groups/orlandohousingapartmentroommates/posts/1053452620174155/,,,I have a room for rent in winter garden close ... I need to move back to Orlando to be a caretaker for my grandparents.,24.0,"{""positive_hits"": [""+7:caretaker"", ""+8:garden""], ""negative_hits"": [], ""budget_notes"": [""-2.0:budget_out($1053)""], ""contact_notes"": [""+6:has_email"", ""+5:has_phone""], ""keyword_score"": 15.0, ""budget_score"": -2.0, ""contact_score"": 11.0, ""total_score"": 24.0}",False
"For Rent by Private Owner 78 Rentals in Winter Haven, FL",https://hotpads.com/winter-haven-fl/for-rent-by-owner,,,"There are currently 78 private landlord rentals in the Winter Haven area. What does FRBO mean? FRBO is an acronym for ""For Rent by Owner."" This means that the ...",23.0,"{""positive_hits"": [""+7:for rent by owner"", ""+5:winter haven""], ""negative_hits"": [], ""budget_notes"": [], ""contact_notes"": [""+6:has_email"", ""+5:has_phone""], ""keyword_score"": 12.0, ""budget_score"": 0.0, ""contact_score"": 11.0, ""total_score"": 23.0}",False
"Houses for Rent by Private Owner in Winter Haven, FL",https://hotpads.com/winter-haven-fl/houses-for-rent-by-owner,,,"Houses for Rent by Private Owner in Winter Haven, FL. Page 1 / 3: 47 houses for rent by owner. Sort: Recommended ...",23.0,"{""positive_hits"": [""+7:for rent by owner"", ""+5:winter haven""], ""negative_hits"": [], ""budget_notes"": [], ""contact_notes"": [""+6:has_email"", ""+5:has_phone""], ""keyword_score"": 12.0, ""budget_score"": 0.0, ""contact_score"": 11.0, ""total_score"": 23.0}",False
"Apartments For Rent By Owner in Winter Haven, FL",https://www.apartmentfinder.com/Florida/Winter-Haven-Apartments-For-Rent-By-Owner,,,"Find 7 apartments for rent by owner in Winter Haven, FL. Connect directly with property owners and find the best deal on your new home.",23.0,"{""positive_hits"": [""+7:for rent by owner"", ""+5:winter haven""], ""negative_hits"": [], ""budget_notes"": [], ""contact_notes"": [""+6:has_email"", ""+5:has_phone""], ""keyword_score"": 12.0, ""budget_score"": 0.0, ""contact_score"": 11.0, ""total_score"": 23.0}",False
Remote and peaceful mountain home,https://homeshareonline.org/room-for-rent/co/livermore/38437,,,"Need a room to rent or a roommate near you? Find available homesharing listings on HomeShare Online, match with compatible roommates, enjoy secure messaging and ...",23.0,"{""positive_hits"": [""+8:homeshare"", ""+6:homeshare online""], ""negative_hits"": [], ""budget_notes"": [""-2.0:budget_out($3843)""], ""contact_notes"": [""+6:has_email"", ""+5:has_phone""], ""keyword_score"": 14.0, ""budget_score"": -2.0, ""contact_score"": 11.0, ""total_score"": 23.0}",False
This page could be really useful for people looking for ...,https://www.facebook.com/groups/666317850905702/posts/674285936775560/,,,INFO.SILVERNEST.COM. Find a compatible roommate with Home Share Oregon and Silvernest. Silvernest and Home Share Oregon have partnered t...,23.0,"{""positive_hits"": [""+8:home share"", ""+6:silvernest""], ""negative_hits"": [], ""budget_notes"": [""-2.0:budget_out($6663)""], ""contact_notes"": [""+6:has_email"", ""+5:has_phone""], ""keyword_score"": 14.0, ""budget_score"": -2.0, ""contact_score"": 11.0, ""total_score"": 23.0}",False
March | 2022 - CMCAcorner.com,https://cmcacorner.com/2022/03/,info@camicb.org,,"... Silvernest, which pairs older adults with housemates. The service is ... Home Share Colorado, Bolding found two more housemates. Since ...",23.0,"{""positive_hits"": [""+8:home share"", ""+6:silvernest""], ""negative_hits"": [], ""budget_notes"": [""-2.0:budget_out($2022)""], ""contact_notes"": [""+6:has_email"", ""+5:has_phone""], ""keyword_score"": 14.0, ""budget_score"": -2.0, ""contact_score"": 11.0, ""total_score"": 23.0}",False
